date,high,isin,last,low
2020-04-07 21:25:58.509614,87.77,US94106L1098,84.93,84.41
2020-04-08 11:55:32.075685,69.39,IE00B3RBWM25,68.15,68.04
2020-04-08 11:55:32.590516,172.48,US0846707026,171.06,170.02
2020-04-08 11:55:34.175946,85.74,US94106L1098,84.79,84.44
2020-04-09 12:09:39.616696,71.9,IE00B3RBWM25,69.93,69.9
2020-04-09 12:09:40.133804,178.46,US0846707026,176.14,175.52
2020-04-09 12:09:41.326957,89.49,US94106L1098,88.05,87.0
2020-04-09 17:08:23.274251,71.9,IE00B3RBWM25,70.77,69.75
2020-04-09 17:08:23.805687,180.7,US0846707026,178.76,174.12
2020-04-09 17:08:25.509811,91.01,US94106L1098,90.99,87.0
2020-04-14 09:56:17.921305,72.65,IE00B3RBWM25,72.41,71.2
2020-04-14 09:56:18.420014,176.98,US0846707026,176.18,175.5
2020-04-14 09:56:19.755966,91.4,US94106L1098,90.99,90.5
2020-04-16 12:22:09.809740,71.31,IE00B3RBWM25,71.0,70.67
2020-04-16 12:22:10.322465,176.0,US0846707026,175.0,173.22
2020-04-16 12:22:11.596661,89.95,US94106L1098,89.95,88.81
2020-04-16 15:56:08.640677,71.31,IE00B3RBWM25,70.63,70.63
2020-04-16 15:56:09.124485,176.0,US0846707026,172.2,172.2
2020-04-16 15:56:10.474153,90.15,US94106L1098,88.5,88.5
2020-04-17 16:44:10.368832,73.42,IE00B3RBWM25,72.0,71.97
2020-04-17 16:44:10.864831,180.08,US0846707026,174.56,174.26
2020-04-17 16:44:12.291592,93.99,US94106L1098,91.28,91.23
2020-04-17 19:57:22.290177,73.42,IE00B3RBWM25,72.39,71.89
2020-04-17 19:57:23.051181,180.08,US0846707026,174.84,173.8
2020-04-17 19:57:24.605751,93.99,US94106L1098,91.03,90.61
2020-04-20 09:40:04.514892,73.89,IE00B3RBWM25,72.49,72.25
2020-04-20 09:40:04.978822,176.88,US0846707026,175.5,175.5
2020-04-20 09:40:06.184512,92.74,US94106L1098,92.74,91.83
2020-04-20 12:01:45.220146,73.89,IE00B3RBWM25,72.07,72.07
2020-04-20 12:01:45.734268,176.88,US0846707026,175.2,174.8
2020-04-20 12:01:47.094426,93.5,US94106L1098,93.5,91.83
2020-04-21 09:39:51.325692,71.86,IE00B3RBWM25,71.3,71.14
2020-04-21 09:39:51.793324,174.14,US0846707026,172.52,172.5
2020-04-21 09:39:53.030415,90.44,US94106L1098,89.76,89.76
2020-04-21 14:15:03.862084,71.86,IE00B3RBWM25,70.34,70.34
2020-04-21 14:15:04.362986,174.14,US0846707026,171.12,171.12
2020-04-21 14:15:05.657855,90.48,US94106L1098,89.76,89.52
2020-04-22 09:48:07.799465,70.62,IE00B3RBWM25,70.49,70.1
2020-04-22 09:48:08.243749,171.9,US0846707026,170.8,170.02
2020-04-22 09:48:09.508465,89.99,US94106L1098,89.99,89.35
2020-04-22 16:49:04.721724,71.35,IE00B3RBWM25,71.28,70.1
2020-04-22 16:49:05.186756,171.94,US0846707026,171.68,170.02
2020-04-22 16:49:06.770024,91.3,US94106L1098,90.78,89.31
2020-04-23 10:26:39.651562,72.1,IE00B3RBWM25,71.65,71.4
2020-04-23 10:26:40.082292,173.32,US0846707026,172.4,171.22
2020-04-23 10:26:41.408980,92.41,US94106L1098,91.99,91.63
2020-04-23 12:56:29.948478,72.1,IE00B3RBWM25,71.85,71.4
2020-04-23 12:56:30.494081,173.5,US0846707026,173.5,171.22
2020-04-23 12:56:31.754631,92.59,US94106L1098,92.29,91.48
2020-04-24 16:28:22.170035,72.15,IE00B3RBWM25,71.62,71.37
2020-04-24 16:28:22.678878,173.46,US0846707026,171.38,171.0
2020-04-24 16:28:24.061417,92.0,US94106L1098,90.67,90.1
2020-04-24 21:22:55.535152,72.31,IE00B3RBWM25,72.11,71.37
2020-04-24 21:22:56.122042,173.46,US0846707026,171.48,170.7
2020-04-24 21:22:57.729294,92.0,US94106L1098,90.87,89.73
2020-04-27 09:24:09.343292,72.76,IE00B3RBWM25,72.7,72.59
2020-04-27 09:24:09.799729,174.5,US0846707026,173.56,172.82
2020-04-27 09:24:11.013683,92.0,US94106L1098,91.89,90.99
2020-04-27 14:10:25.345173,73.02,IE00B3RBWM25,72.75,72.59
2020-04-27 14:10:25.822537,174.78,US0846707026,173.82,172.82
2020-04-27 14:10:27.147441,92.07,US94106L1098,91.5,90.99
2020-04-27 20:30:23.535200,73.39,IE00B3RBWM25,73.36,72.52
2020-04-27 20:30:24.383767,174.9,US0846707026,174.12,172.0
2020-04-27 20:30:25.984061,93.61,US94106L1098,93.5,90.99
2020-04-28 10:00:22.693021,73.62,IE00B3RBWM25,73.58,73.2
2020-04-28 10:00:23.164686,174.44,US0846707026,173.0,173.0
2020-04-28 10:00:24.337818,94.52,US94106L1098,94.09,93.45
2020-04-28 17:23:26.811026,74.36,IE00B3RBWM25,73.53,73.2
2020-04-28 17:23:27.331395,176.0,US0846707026,174.0,173.0
2020-04-28 17:23:28.754543,96.22,US94106L1098,92.44,92.44
2020-04-29 10:12:19.403054,74.33,IE00B3RBWM25,73.93,73.69
2020-04-29 10:12:19.853947,175.6,US0846707026,174.3,173.58
2020-04-29 10:12:21.082848,94.84,US94106L1098,94.84,94.09
2020-04-29 17:34:46.944246,74.99,IE00B3RBWM25,74.99,73.69
2020-04-29 17:34:47.706560,175.98,US0846707026,175.82,173.52
2020-04-29 17:34:49.104975,95.49,US94106L1098,93.4,92.98
2020-04-29 17:34:50.576643,74.99,IE00B3RBWM25,74.99,73.69
2020-04-29 17:34:50.630233,175.98,US0846707026,175.82,173.52
2020-04-29 17:34:50.773240,95.49,US94106L1098,93.4,92.98
2020-04-29 21:23:32.285144,75.34,IE00B3RBWM25,75.24,73.69
2020-04-29 21:23:32.819237,177.44,US0846707026,176.46,173.52
2020-04-29 21:23:34.234946,95.49,US94106L1098,92.97,92.97
2020-04-30 17:50:56.737135,75.94,IE00B3RBWM25,73.66,73.52
2020-04-30 17:50:57.461902,176.54,US0846707026,172.74,172.4
2020-04-30 17:50:59.007648,94.22,US94106L1098,91.01,90.46
2020-05-04 11:53:07.823939,73.21,IE00B3RBWM25,70.86,70.6
2020-05-04 11:53:08.363202,168.0,US0846707026,165.12,165.12
2020-05-04 11:53:09.715958,92.0,US94106L1098,89.8,89.51
2020-05-05 17:06:46.478467,73.3,IE00B3RBWM25,73.3,72.36
2020-05-05 17:06:47.030760,166.6,US0846707026,164.1,163.68
2020-05-05 17:06:48.305049,93.41,US94106L1098,92.53,91.44
2020-05-06 09:58:26.820897,73.66,IE00B3RBWM25,73.46,73.41
2020-05-06 09:58:27.310540,164.5,US0846707026,164.18,163.4
2020-05-06 09:58:28.486468,92.49,US94106L1098,92.49,92.0
2020-05-07 10:07:54.290105,73.56,IE00B3RBWM25,73.43,73.38
2020-05-07 10:07:54.714306,162.2,US0846707026,161.26,160.12
2020-05-07 10:07:55.828971,90.36,US94106L1098,90.36,89.51
2020-05-08 11:49:04.245778,74.87,IE00B3RBWM25,74.22,74.15
2020-05-08 11:49:04.860403,162.48,US0846707026,162.28,161.4
2020-05-08 11:49:06.019161,94.99,US94106L1098,94.99,94.22
2020-05-11 10:14:01.083622,75.25,IE00B3RBWM25,75.09,74.8
2020-05-11 10:14:01.550052,164.9,US0846707026,164.0,163.52
2020-05-11 10:14:02.805637,94.4,US94106L1098,94.24,93.5
2020-05-12 13:45:11.571181,74.93,IE00B3RBWM25,74.82,74.03
2020-05-12 13:45:12.033112,162.08,US0846707026,161.8,160.52
2020-05-12 13:45:13.336247,93.23,US94106L1098,92.84,92.15
2020-05-13 11:23:34.608020,73.84,IE00B3RBWM25,73.39,73.17
2020-05-13 11:23:35.079737,160.5,US0846707026,160.0,159.0
2020-05-13 11:23:36.317835,91.0,US94106L1098,90.49,90.01
2020-05-13 16:49:38.388741,73.84,IE00B3RBWM25,73.39,72.88
2020-05-13 16:49:38.912105,160.5,US0846707026,157.44,156.04
2020-05-13 16:49:40.221902,91.01,US94106L1098,90.0,89.64
2020-05-15 10:13:32.881421,73.34,IE00B3RBWM25,73.21,72.42
2020-05-15 10:13:33.325367,159.4,US0846707026,159.08,158.1
2020-05-15 10:13:34.423904,90.6,US94106L1098,90.39,90.19
2020-05-18 08:37:59.392943,73.99,IE00B3RBWM25,73.99,73.58
2020-05-18 08:37:59.874947,158.0,US0846707026,157.5,157.02
2020-05-18 08:38:01.070573,89.8,US94106L1098,89.8,88.8
2020-05-18 11:55:37.002581,74.09,IE00B3RBWM25,73.98,73.58
2020-05-18 11:55:37.475356,159.3,US0846707026,158.3,157.02
2020-05-18 11:55:38.624647,90.42,US94106L1098,89.99,88.8
2020-05-22 09:21:38.585811,74.05,IE00B3RBWM25,73.59,73.39
2020-05-22 09:21:38.987753,158.98,US0846707026,158.52,158.5
2020-05-22 09:21:40.134688,90.33,US94106L1098,90.0,89.52
2020-05-25 09:58:26.720586,75.3,IE00B3RBWM25,75.17,74.96
2020-05-25 09:58:27.189955,162.26,US0846707026,161.64,161.5
2020-05-25 09:58:28.285243,91.79,US94106L1098,91.49,90.92
2020-05-26 14:00:00.940566,76.29,IE00B3RBWM25,75.87,75.87
2020-05-26 14:00:01.762265,165.08,US0846707026,163.0,162.56
2020-05-26 14:00:03.016960,93.84,US94106L1098,92.31,91.63
2020-05-26 14:09:35.642359,76.29,IE00B3RBWM25,75.72,75.72
2020-05-26 14:09:36.151066,165.08,US0846707026,162.94,162.56
2020-05-26 14:09:37.763369,93.84,US94106L1098,92.31,91.63
2020-05-27 10:50:27.186564,76.47,IE00B3RBWM25,76.45,75.89
2020-05-27 10:50:27.675956,166.84,US0846707026,166.64,165.24
2020-05-27 10:50:28.801752,93.89,US94106L1098,93.3,92.75
2020-05-29 14:26:37.811495,76.03,IE00B3RBWM25,75.65,75.39
2020-05-29 14:26:38.319451,166.6,US0846707026,165.98,165.12
2020-05-29 14:26:39.594471,98.42,US94106L1098,98.42,94.87
2020-06-01 09:48:32.617213,77.38,IE00B3RBWM25,77.38,76.97
2020-06-01 09:48:33.015993,168.28,US0846707026,168.0,167.38
2020-06-01 09:48:34.207407,97.53,US94106L1098,97.53,96.66
2020-06-02 09:59:08.745841,77.17,IE00B3RBWM25,76.75,76.55
2020-06-02 09:59:09.246431,165.9,US0846707026,165.72,165.02
2020-06-02 09:59:10.399855,96.6,US94106L1098,96.6,95.1
2020-06-02 20:18:18.920695,77.17,IE00B3RBWM25,77.05,76.55
2020-06-02 20:18:19.411766,166.6,US0846707026,166.4,164.8
2020-06-02 20:18:20.835299,97.4,US94106L1098,96.42,94.87
2020-06-05 15:02:13.432325,78.72,IE00B3RBWM25,78.72,77.61
2020-06-05 15:02:13.964555,174.6,US0846707026,174.6,169.44
2020-06-05 15:02:15.324641,97.54,US94106L1098,97.54,95.51
2020-06-08 12:30:51.592930,79.42,IE00B3RBWM25,79.37,78.85
2020-06-08 12:30:52.104332,180.0,US0846707026,179.0,177.2
2020-06-08 12:30:53.514292,100.8,US94106L1098,100.28,99.51
2020-06-11 09:43:31.965654,77.24,IE00B3RBWM25,76.93,76.76
2020-06-11 09:43:32.467248,167.48,US0846707026,165.58,164.8
2020-06-11 09:43:33.796393,96.5,US94106L1098,96.5,95.01
2020-06-11 13:41:54.644792,77.24,IE00B3RBWM25,76.51,76.4
2020-06-11 13:41:55.081574,167.48,US0846707026,164.14,163.02
2020-06-11 13:41:56.194838,96.5,US94106L1098,94.01,94.01
2020-06-11 17:30:43.767461,77.24,IE00B3RBWM25,75.62,75.58
2020-06-11 17:30:44.270576,167.48,US0846707026,160.8,160.54
2020-06-11 17:30:45.893322,96.5,US94106L1098,93.5,93.01
2020-06-12 09:11:28.547795,76.84,IE00B3RBWM25,75.04,74.2
2020-06-12 09:11:29.044981,160.9,US0846707026,160.0,159.4
2020-06-12 09:11:30.173233,94.0,US94106L1098,93.0,92.1
2020-06-15 08:53:56.681372,74.99,IE00B3RBWM25,73.54,73.01
2020-06-15 08:53:57.175731,158.3,US0846707026,155.36,155.06
2020-06-15 08:53:58.462848,92.1,US94106L1098,90.01,90.01
2020-06-15 15:02:02.293634,74.99,IE00B3RBWM25,74.41,73.01
2020-06-15 15:02:02.766565,159.16,US0846707026,157.44,155.06
